instance_type,max_nics,max_private_ips
c1.xlarge,4,15
c3.large,3,10
c3.xlarge,4,15
c3.2xlarge,4,15
c3.4xlarge,8,30
c3.8xlarge,8,30
c4.large,3,10
c4.xlarge,4,15
c4.2xlarge,4,15
c4.4xlarge,8,30
c4.8xlarge,8,30
cc2.8xlarge,8,30
cg1.4xlarge,8,30
cr1.8xlarge,8,30
d2.xlarge,4,15
d2.2xlarge,4,15
d2.4xlarge,8,30
d2.8xlarge,8,30
g2.2xlarge,4,15
g2.8xlarge,8,30
hi1.4xlarge,8,30
hs1.8xlarge,8,30
i2.xlarge,4,15
i2.2xlarge,4,15
i2.4xlarge,8,30
i2.8xlarge,8,30
m1.small,2,4
m1.medium,2,6
m1.large,3,10
m1.xlarge,4,15
m2.xlarge,4,15
m2.2xlarge,4,30
m2.4xlarge,8,30
m3.medium,2,6
m3.large,3,10
m3.xlarge,4,15
m3.2xlarge,4,30
m4.large,2,10
m4.xlarge,4,15
m4.2xlarge,4,15
m4.4xlarge,8,30
m4.10xlarge,8,30
r3.large,3,10
r3.xlarge,4,15
r3.2xlarge,4,15
r3.4xlarge,8,30
r3.8xlarge,8,30
t1.micro,2,2
t2.nano,2,2
t2.micro,2,2
t2.small,2,4
t2.medium,3,6
t2.large,3,12
